Player,Position,Price,form
Sandro Mamukelashvili,PF,7.5,8.05
Keita Bates-Diop,SF,7.5,8
Otto Porter Jr.,SF,7.5,7.725
Jordan Hawkins,SG,7.5,7.45
Jordan Nwora,PF,7.5,7.025
Troy Brown Jr.,SF,7.5,6.85
Bones Hyland,PG,7.5,6.825
Davion Mitchell,PG,7.5,5.75
Reggie Bullock,SF,7.5,5.175
Joe Harris,SF,7.5,4.8
Patty Mills,PG,7.5,4.05
Jett Howard,SF,7.5,2.725
Johnny Davis,SG,7.5,1.375
Maxi Kleber,PF,7.5,
Jae Crowder,PF,7.5,
Victor Oladipo,SG,7.5,
Dante Exum,PG,7.3,27.175
Derrick Jones Jr.,SF,7.3,20.7
Dario Saric,PF,7.3,19.475
Nick Richards,C,7,24.525
Aaron Nesmith,SF,7,23.9
Day'Ron Sharpe,C,7,23.025
Evan Fournier,SG,7,22
Malaki Branham,SG,7,20.8
Isaac Okoro,SF,7,20.75
Payton Pritchard,PG,7,20.025
Cody Martin,SG,7,19.475
Eric Gordon,SG,7,19.425
Matisse Thybulle,SF,7,16.35
Josh Green,SF,7,16.325
DeAndre Jordan,C,7,15.425
Cam Reddish,SF,7,14.95
Joe Ingles,SF,7,14.75
Tristan Thompson,C,7,14.6
Nicolas Batum,PF,7,14.55
Trendon Watford,PF,7,13.75
Ziaire Williams,SF,7,13.75
Nick Smith Jr.,PG,7,13.575
Ish Smith,PG,7,13.45
Delon Wright,PG,7,13.375
Haywood Highsmith,SF,7,13.35
Patrick Beverley,PG,7,13.35
Isaiah Joe,SG,7,13.075
John Konchar,SG,7,12.7
Jordan Goodwin,PG,7,12.175
Jeff Green,PF,7,12.125
Oshae Brissett,PF,7,12.1
Kris Murray,PF,7,11.775
Bryce McGowens,SG,7,11.6
Amir Coffey,PF,7,11.575
Julian Champagnie,SF,7,11.55
Jevon Carter,SG,7,11.425
David Roddy,SF,7,11.325
Malachi Flynn,PG,7,10.6
Isaiah Livers,SF,7,10.45
Robert Covington,SF,7,10.2
Ousmane Dieng,SF,7,10.15
Aaron Wiggins,SG,7,9.975
Justin Holiday,SF,7,9.175
Chuma Okeke,PF,7,9
Jordan McLaughlin,PG,7,8.85
Markieff Morris,PF,7,8.775
Blake Wesley,SG,7,8.425
Danilo Gallinari,PF,7,8.2
Andre Jackson,SG,7,7.9
JaVale McGee,C,7,7.675
Brandon Williams,PG,7,7.45
Cody Zeller,C,7,7.05
Ömer Yurtseven,C,7,6.325
Jaxson Hayes,C,7,5.975
Jock Landale,C,7,5.825
JT Thor,PF,7,5.325
Gary Payton II,SF,7,5.25
Davis Bertans,PF,7,4.55
AJ Griffin,SF,7,3.25
Gradey Dick,SG,7,3.15
Jalen Hood-Schifino,PG,7,2.925
Yuta Watanabe,PF,7,2.725
Tre Mann,PG,7,2.3
Kenneth Lofton Jr.,PF,7,1.5
Aleksej Pokusevski,PF,7,1.25
Jeenathan Williams,SF,7,
Josh Christopher,SG,7,
TyTy Washington Jr.,PG,7,
P.J. Tucker,PF,7,
Damion Lee,SG,7,
Christian Koloko,C,7,
Theo Maledon,PG,7,
Jaime Jaquez Jr.,SF,6.8,28.325
Dean Wade,PF,6.8,18.55
Brandin Podziemski,SG,6.6,30.075
Dereck Lively II,C,6.5,22.9
Craig Porter Jr.,PG,6.5,21.9
Noah Clowney,PF,6.5,21.5
Jabari Walker,PF,6.5,20.725
Sam Merrill,SG,6.5,19.275
Keon Johnson,SG,6.5,19.25
Jaden Hardy,SG,6.5,18.55
Peyton Watson,SF,6.5,18.5
Luke Kornet,C,6.5,18.1
Nikola Jovic,SF,6.5,15.75
Sam Hauser,SF,6.5,14.9
Derrick Rose,PG,6.5,14.4
Julian Strawther,SF,6.5,14.2
Cason Wallace,PG,6.5,13.525
Keon Ellis,SG,6.5,12.25
Jared Butler,SG,6.5,12.125
Moses Moody,SG,6.5,11.6
Bruno Fernando,C,6.5,11.575
Dariq Whitehead,SG,6.5,11.5
Moses Brown,C,6.5,11.45
Max Christie,SG,6.5,11.1
Olivier-Maxence Prosper,PF,6.5,10.1
Marcus Sasser,PG,6.5,10.075
Alex Len,C,6.5,9.875
Caleb Houstan,SG,6.5,9.65
MarJon Beauchamp,SG,6.5,9.575
Dalen Terry,SF,6.5,9.425
Luka Samanic,PF,6.5,8.9
Leonard Miller,PF,6.5,8.75
Trent Forrest,PG,6.5,8.6
Lamar Stevens,SF,6.5,8.575
Brandon Boston Jr.,SG,6.5,8.375
James Bouknight,SG,6.5,7.625
Miles McBride,PG,6.5,7.55
Wesley Matthews,SG,6.5,7
Damian Jones,C,6.5,6.775
Leaky Black,SF,6.5,6.675
Harry Giles III,PF,6.5,6.575
Greg Brown III,PF,6.5,6.575
Danuel House Jr.,PF,6.5,6.425
Terry Taylor,PF,6.5,5.75
Patrick Baldwin Jr.,SF,6.5,5.7
Lindy Waters III,SF,6.5,5.7
Thaddeus Young,PF,6.5,5.65
Jake LaRavia,SF,6.5,5.55
Jericho Sims,C,6.5,5.475
Anthony Gill,PF,6.5,5.225
Eugene Omoruyi,SF,6.5,5.175
Braxton Key,PF,6.5,5.125
Adama Sanogo,PF,6.5,5.05
Isaiah Mobley,PF,6.5,5
Svi Mykhailiuk,SG,6.5,4.625
R.J. Hampton,SG,6.5,4.025
Dalano Banton,PG,6.5,4
Cory Joseph,PG,6.5,3.5
Lonnie Walker IV,SG,6.5,3.25
Furkan Korkmaz,SF,6.5,2.775
Luka Garza,C,6.5,2.75
Admiral Schofield,SF,6.5,2.65
Robin Lopez,C,6.5,2.6
Kessler Edwards,SF,6.5,2.375
Kira Lewis Jr.,PG,6.5,2
Usman Garuba,PF,6.5,1.75
Jaylen Nowell,SG,6.5,1.75
Collin Gillespie,PG,6.5,1.25
Kobe Bufkin,PG,6.5,
Frank Ntilikina,PG,6.5,
Onuralp Bitim,SG,6.5,
Joe Wieskamp,SG,6.5,
Shaquille Harrison,PG,6.5,
AJ Green,SG,6.5,
EJ Liddell,PF,6.5,
Kevon Harris,SG,6.5,
Danny Green,SG,6.5,
Justin Minaya,SF,6.5,
Markquis Nowell,PG,6.5,
Mamadi  Diakite ,PF,6.5,
Trayce Jackson-Davis,C,6.3,21.95
Vince Williams Jr.,SG,6,21
Toumani Camara,SF,6,19.025
Duop Reath,C,6,18.425
Chimezie Metu,PF,6,16.775
Trevelin Queen,SG,6,15.025
Jamal Cain,SF,6,13.675
Neemias Queta,C,6,13.65
Dominick Barlow,PF,6,13.3
Jacob Gilyard,PG,6,13.025
Jalen Wilson,SF,6,10.7
Saben Lee,PG,6,10.425
Jontay Porter,C,6,10
Ibou Badji,C,6,9.575
A.J. Lawson,SG,6,9.3
Jermaine Samuels Jr.,PF,6,9.25
Udoka Azubuike,C,6,9.125
Colin Castleton,C,6,8.75
Garrison Mathews,SG,6,8.1
Jordan Ford,PG,6,7.75
Jaden Springer,SG,6,7.3
Gui  Santos,SF,6,7.25
Ryan Rollins,PG,6,7.125
Nate Hinton,SG,6,7
Rayan Rupert,SG,6,6.625
Kobe Brown,PF,6,6.4
Orlando Robinson,C,6,6.375
Olivier Sarr,C,6,5.65
