Player,Position,Price,form
Derrick Jones Jr.,SF,7.3,22.35
Dario Saric,PF,7.3,21
Nick Richards,C,7,25.55
Aaron Nesmith,SF,7,25.25
Day'Ron Sharpe,C,7,24.975
Evan Fournier,SG,7,22
Malaki Branham,SG,7,16.4
Isaac Okoro,SF,7,21.8
Payton Pritchard,PG,7,19.725
Cody Martin,SG,7,19.475
Eric Gordon,SG,7,20.95
Matisse Thybulle,SF,7,16.2
Josh Green,SF,7,15.975
DeAndre Jordan,C,7,16
Cam Reddish,SF,7,13.6
Joe Ingles,SF,7,
Tristan Thompson,C,7,14.95
Nicolas Batum,PF,7,15
Trendon Watford,PF,7,11.5
Ziaire Williams,SF,7,15.175
Nick Smith Jr.,PG,7,13.8
Ish Smith,PG,7,14.425
Delon Wright,PG,7,13.375
Haywood Highsmith,SF,7,15.1
Patrick Beverley,PG,7,14.65
Isaiah Joe,SG,7,13
John Konchar,SG,7,11.65
Jordan Goodwin,PG,7,6.05
Jeff Green,PF,7,10.225
Oshae Brissett,PF,7,13.075
Kris Murray,PF,7,8.45
Bryce McGowens,SG,7,11.3
Amir Coffey,PF,7,10.475
Julian Champagnie,SF,7,12.675
Jevon Carter,SG,7,11.925
David Roddy,SF,7,7.4
Malachi Flynn,PG,7,7.8
Isaiah Livers,SF,7,9.775
Robert Covington,SF,7,10.05
Ousmane Dieng,SF,7,7.95
Aaron Wiggins,SG,7,10.825
Justin Holiday,SF,7,5.45
Chuma Okeke,PF,7,11.975
Jordan McLaughlin,PG,7,12.125
Markieff Morris,PF,7,5
Blake Wesley,SG,7,8.575
Danilo Gallinari,PF,7,7.45
Andre Jackson,SG,7,5.125
JaVale McGee,C,7,8.8
Brandon Williams,PG,7,7.45
Cody Zeller,C,7,7.025
Ã–mer Yurtseven,C,7,3.225
Jaxson Hayes,C,7,4.25
Jock Landale,C,7,6.4
JT Thor,PF,7,5.975
Gary Payton II,SF,7,5.25
Davis Bertans,PF,7,3.675
AJ Griffin,SF,7,2.5
Gradey Dick,SG,7,3.5
Jalen Hood-Schifino,PG,7,3.875
Yuta Watanabe,PF,7,2.5
Tre Mann,PG,7,1.35
Kenneth Lofton Jr.,PF,7,1.5
Aleksej Pokusevski,PF,7,
Jeenathan Williams,SF,7,
Josh Christopher,SG,7,
TyTy Washington Jr.,PG,7,
P.J. Tucker,PF,7,
Damion Lee,SG,7,
Christian Koloko,C,7,
Theo Maledon,PG,7,
Jaime Jaquez Jr.,SF,6.8,27.25
Dean Wade,PF,6.8,16.05
Brandin Podziemski,SG,6.6,28.25
Dereck Lively II,C,6.5,22.05
Craig Porter Jr.,PG,6.5,21.125
Noah Clowney,PF,6.5,21.5
Jabari Walker,PF,6.5,22.7
Sam Merrill,SG,6.5,22.375
Keon Johnson,SG,6.5,19.25
Jaden Hardy,SG,6.5,19.075
Peyton Watson,SF,6.5,19.35
Luke Kornet,C,6.5,19.95
Nikola Jovic,SF,6.5,15.75
Sam Hauser,SF,6.5,13.85
Derrick Rose,PG,6.5,6.5
Julian Strawther,SF,6.5,11.05
Cason Wallace,PG,6.5,13.675
Keon Ellis,SG,6.5,11.025
Jared Butler,SG,6.5,10.95
Moses Moody,SG,6.5,12.5
Bruno Fernando,C,6.5,9.375
Dariq Whitehead,SG,6.5,11.5
Moses Brown,C,6.5,11.9
Max Christie,SG,6.5,15.4
Olivier-Maxence Prosper,PF,6.5,11
Marcus Sasser,PG,6.5,7.25
Alex Len,C,6.5,9.3
Caleb Houstan,SG,6.5,11.9
MarJon Beauchamp,SG,6.5,9.85
Dalen Terry,SF,6.5,11.075
Luka Samanic,PF,6.5,5.9
Leonard Miller,PF,6.5,8.75
Trent Forrest,PG,6.5,8.425
Lamar Stevens,SF,6.5,8.125
Brandon Boston Jr.,SG,6.5,8.1
James Bouknight,SG,6.5,6.025
Miles McBride,PG,6.5,7.25
Wesley Matthews,SG,6.5,4.1
Damian Jones,C,6.5,6.775
Leaky Black,SF,6.5,5.25
Harry Giles III,PF,6.5,4.15
Greg Brown III,PF,6.5,9.525
Danuel House Jr.,PF,6.5,4.125
Terry Taylor,PF,6.5,6.375
Patrick Baldwin Jr.,SF,6.5,0.625
Lindy Waters III,SF,6.5,6
Thaddeus Young,PF,6.5,6.4
Jake LaRavia,SF,6.5,7.25
Jericho Sims,C,6.5,0.375
Anthony Gill,PF,6.5,5.8
Eugene Omoruyi,SF,6.5,7.3
Braxton Key,PF,6.5,4.6
Adama Sanogo,PF,6.5,5.05
Isaiah Mobley,PF,6.5,5
Svi Mykhailiuk,SG,6.5,5.275
R.J. Hampton,SG,6.5,3.875
Dalano Banton,PG,6.5,4.45
Cory Joseph,PG,6.5,3.425
Lonnie Walker IV,SG,6.5,2.25
Furkan Korkmaz,SF,6.5,1.675
Luka Garza,C,6.5,2.75
Admiral Schofield,SF,6.5,3.275
Robin Lopez,C,6.5,3.225
Kessler Edwards,SF,6.5,4.225
Kira Lewis Jr.,PG,6.5,2.75
Usman Garuba,PF,6.5,1.75
Jaylen Nowell,SG,6.5,
Collin Gillespie,PG,6.5,0.375
Kobe Bufkin,PG,6.5,
Frank Ntilikina,PG,6.5,
Onuralp Bitim,SG,6.5,
Joe Wieskamp,SG,6.5,
Shaquille Harrison,PG,6.5,
AJ Green,SG,6.5,
EJ Liddell,PF,6.5,1.5
Kevon Harris,SG,6.5,
Danny Green,SG,6.5,
Justin Minaya,SF,6.5,
Markquis Nowell,PG,6.5,
Mamadi  Diakite ,PF,6.5,
Trayce Jackson-Davis,C,6.3,25.675
Vince Williams Jr.,SG,6,21.025
Toumani Camara,SF,6,17.425
Duop Reath,C,6,20.2
Chimezie Metu,PF,6,17.25
Trevelin Queen,SG,6,11.95
Jamal Cain,SF,6,12.95
Neemias Queta,C,6,14.3
Dominick Barlow,PF,6,14.4
Jacob Gilyard,PG,6,18.375
Jalen Wilson,SF,6,12.55
Saben Lee,PG,6,9
Jontay Porter,C,6,10.025
Ibou Badji,C,6,8.7
A.J. Lawson,SG,6,13.8
Jermaine Samuels Jr.,PF,6,9.25
Udoka Azubuike,C,6,9.125
Colin Castleton,C,6,
Garrison Mathews,SG,6,7.125
Jordan Ford,PG,6,
Jaden Springer,SG,6,4.225
Gui  Santos,SF,6,7.25
Ryan Rollins,PG,6,7.125
Nate Hinton,SG,6,7
Rayan Rupert,SG,6,6.625
Kobe Brown,PF,6,6
Orlando Robinson,C,6,1.125
Olivier Sarr,C,6,5.65
Emoni Bates,SF,6,5.275
Ben Sheppard,SF,6,2.625
Drew Peterson,PF,6,5
Sidy Cissoko,SG,6,4.975
Oscar Tshiebwe,C,6,2
Boban Marjanovic,C,6,4.25
Xavier Moon,SG,6,
Lester Quinones,SG,6,5.375
Jalen Pickett,SG,6,2.575
Josh Minott,PF,6,2.8
Chris Livingston,SF,6,2.625
Amari Bailey,PG,6,
Micah Potter,C,6,
Seth Lundy,SG,6,2.6
Julian Phillips,SF,6,2.55
Charlie Brown Jr.,SG,6,1.75
Cole Swider,PF,6,1.675
Jerome Robinson,SG,6,2.225
Wendell Moore Jr.,SG,6,2.425
Colby Jones,SG,6,5.8
Garrett Temple,SG,6,1.5
Johnny Juzang,SG,6,
JD Davison,PG,6,1.25
Hunter Tyson,SF,6,
Moussa Diabate,PF,6,1.25
Brice Sensabaugh,SF,6,1.25
Thanasis Antetokounmpo,SF,6,1.875
Ryan Arcidiacono,PG,6,0.8
Jordan Miller,SF,6,
Jacob Toppin,SF,6,0.75
Kendall Brown,SG,6,0
Isaiah Wong,PG,6,
Maxwell Lewis,SF,6,0
Daishen Nix,PG,6,
Ricky Council IV,SG,6,0
Jalen Slawson,PF,6,
Mouhamed Gueye,C,6,
Jordan Walsh,SF,6,
Henri Drell,SF,6,
Ty Jerome,PG,6,
Jay Huff,C,6,0
Malcolm Cazalon,SG,6,
Stanley Umude,SG,6,
Jared Rhoden,SG,6,
VÃ­t KrejÄÃ­,SG,6,
Dereon Seabron,SG,6,
Jaylen Martin,SF,6,
Dylan Windler,SF,6,
Keyontae Johnson,SF,6,
Terquavion Smith,PG,6,
Kevin Obanor,PF,6,
Javon Freeman-Liberty,SG,6,
Matt Ryan,PF,6,
GG Jackson II,PF,6,
